NO,Sub Name,Ship To,Fab Device,Customer Device,GC Version,PO NO,Invoice NO,Ship Out Date,FAB Lot ID,Wafer ID,Gross Dies,Sampling Qty,Pass Dies,NG Die,Yield,Pack Lot ID,Wafer Mark,Grade,Carton NO,WO,Remark,lot type
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,1,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,2,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,3,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,4,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,5,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,5,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,6,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,7,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,8,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,9,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,22,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,12,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,13,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,14,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,15,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DKK126.Y1,10,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DM1849.02,1,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DM1849.02,2,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DM1849.02,3,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DM1849.02,4,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DM1849.02,5,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DM1849.02,6,5869,,,,,,,A,1,,,ENG
1,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DM1849.02,7,5869,,,,,,,A,1,,,ENG
2,HL,KLT,C00007E,GC2375HBO-WC1X0-2.1,KOHB,SH2003030001,,2020/12/25,DM1849.02,9,5869,,,,,,,A,1,,,ENG
